Year,borough,geography,geography_id,Mean (mcg per cubic meter),10th Percentile (mcg per cubic meter),90th Percentile (mcg per cubic meter),
Winter 2008-09,Brooklyn, Flatlands and Canarsie (CD18),318,12.0 ,10.9 ,13.2 ,
Winter 2009-10,Brooklyn, Flatlands and Canarsie (CD18),318,9.4 ,8.5 ,10.4 ,
Winter 2010-11,Brooklyn, Flatlands and Canarsie (CD18),318,11.8 ,11.1 ,12.7 ,
Winter 2011-12,Brooklyn, Flatlands and Canarsie (CD18),318,8.3 ,7.4 ,9.3 ,
Winter 2012-13,Brooklyn, Flatlands and Canarsie (CD18),318,9.8 ,9.3 ,10.6 ,
Winter 2013-14,Brooklyn, Flatlands and Canarsie (CD18),318,11.0 ,10.4 ,11.9 ,
Summer 2009,Queens, Flushing and Whitestone (CD7),407,10.3 ,9.7 ,11.2 ,
Summer 2010,Queens, Flushing and Whitestone (CD7),407,11.6 ,11.1 ,12.5 ,
Summer 2011,Queens, Flushing and Whitestone (CD7),407,11.3 ,10.7 ,12.1 ,
Summer 2012,Queens, Flushing and Whitestone (CD7),407,10.1 ,9.6 ,11.0 ,
Summer 2013,Queens, Flushing and Whitestone (CD7),407,10.1 ,9.6 ,10.9 ,
Summer 2014,Queens, Flushing and Whitestone (CD7),407,8.2 ,7.7 ,9.1 ,
Winter 2008-09,Queens, Flushing and Whitestone (CD7),407,12.8 ,12.2 ,13.7 ,
Winter 2009-10,Queens, Flushing and Whitestone (CD7),407,9.6 ,9.0 ,10.5 ,
Winter 2010-11,Queens, Flushing and Whitestone (CD7),407,12.6 ,12.0 ,13.5 ,
Winter 2011-12,Queens, Flushing and Whitestone (CD7),407,9.3 ,8.7 ,10.1 ,
Winter 2012-13,Queens, Flushing and Whitestone (CD7),407,9.9 ,9.3 ,10.9 ,
Winter 2013-14,Queens, Flushing and Whitestone (CD7),407,11.5 ,10.9 ,12.5 ,
Summer 2009,Bronx, Fordham and University Heights (CD5),205,11.6 ,11.1 ,12.2 ,
Summer 2010,Bronx, Fordham and University Heights (CD5),205,12.8 ,12.4 ,13.5 ,
Summer 2011,Bronx, Fordham and University Heights (CD5),205,12.3 ,11.9 ,12.9 ,
Summer 2012,Bronx, Fordham and University Heights (CD5),205,11.2 ,10.8 ,11.8 ,
Summer 2013,Bronx, Fordham and University Heights (CD5),205,11.1 ,10.7 ,11.8 ,
Summer 2014,Bronx, Fordham and University Heights (CD5),205,9.5 ,9.1 ,10.1 ,
Winter 2008-09,Bronx, Fordham and University Heights (CD5),205,15.7 ,15.3 ,16.2 ,
Winter 2009-10,Bronx, Fordham and University Heights (CD5),205,12.8 ,12.4 ,13.4 ,
Winter 2010-11,Bronx, Fordham and University Heights (CD5),205,15.1 ,14.6 ,15.7 ,
Winter 2011-12,Bronx, Fordham and University Heights (CD5),205,11.4 ,10.9 ,12.1 ,
Winter 2012-13,Bronx, Fordham and University Heights (CD5),205,12.5 ,12.1 ,13.2 ,
Winter 2013-14,Bronx, Fordham and University Heights (CD5),205,13.4 ,13.0 ,14.1 ,
Summer 2009,Brooklyn, Fort Greene and Brooklyn Heights (CD2),302,11.7 ,11.1 ,12.5 ,
Summer 2010,Brooklyn, Fort Greene and Brooklyn Heights (CD2),302,12.7 ,12.1 ,13.5 ,
Summer 2011,Brooklyn, Fort Greene and Brooklyn Heights (CD2),302,12.2 ,11.7 ,13.0 ,
Summer 2012,Brooklyn, Fort Greene and Brooklyn Heights (CD2),302,11.1 ,10.6 ,11.9 ,
Summer 2013,Brooklyn, Fort Greene and Brooklyn Heights (CD2),302,11.0 ,10.4 ,11.7 ,
Summer 2014,Brooklyn, Fort Greene and Brooklyn Heights (CD2),302,9.9 ,9.3 ,10.6 ,
Winter 2008-09,Brooklyn, Fort Greene and Brooklyn Heights (CD2),302,14.2 ,13.6 ,15.0 ,
Winter 2009-10,Brooklyn, Fort Greene and Brooklyn Heights (CD2),302,10.6 ,9.8 ,11.4 ,
Winter 2010-11,Brooklyn, Fort Greene and Brooklyn Heights (CD2),302,13.8 ,13.2 ,14.5 ,
Winter 2011-12,Brooklyn, Fort Greene and Brooklyn Heights (CD2),302,10.4 ,9.8 ,11.1 ,
Winter 2012-13,Brooklyn, Fort Greene and Brooklyn Heights (CD2),302,11.2 ,10.5 ,12.0 ,
Winter 2013-14,Brooklyn, Fort Greene and Brooklyn Heights (CD2),302,13.0 ,12.3 ,13.8 ,
Summer 2009,Brooklyn, Greenpoint and Williamsburg (CD1),301,12.3 ,11.5 ,13.2 ,
Summer 2010,Brooklyn, Greenpoint and Williamsburg (CD1),301,13.4 ,12.6 ,14.4 ,
Summer 2011,Brooklyn, Greenpoint and Williamsburg (CD1),301,12.9 ,12.1 ,13.9 ,
Summer 2012,Brooklyn, Greenpoint and Williamsburg (CD1),301,11.8 ,11.0 ,12.8 ,
Summer 2013,Brooklyn, Greenpoint and Williamsburg (CD1),301,11.6 ,10.9 ,12.6 ,
Summer 2014,Brooklyn, Greenpoint and Williamsburg (CD1),301,10.5 ,9.7 ,11.4 ,
Winter 2008-09,Brooklyn, Greenpoint and Williamsburg (CD1),301,14.4 ,13.7 ,15.5 ,
Winter 2009-10,Brooklyn, Greenpoint and Williamsburg (CD1),301,10.4 ,9.6 ,11.6 ,
Winter 2010-11,Brooklyn, Greenpoint and Williamsburg (CD1),301,14.2 ,13.4 ,15.1 ,
Winter 2011-12,Brooklyn, Greenpoint and Williamsburg (CD1),301,10.5 ,9.8 ,11.5 ,
Winter 2012-13,Brooklyn, Greenpoint and Williamsburg (CD1),301,11.7 ,11.0 ,12.6 ,
Winter 2013-14,Brooklyn, Greenpoint and Williamsburg (CD1),301,13.6 ,12.8 ,14.5 ,
Summer 2009,Manhattan, Greenwich Village and Soho (CD2),102,13.0 ,12.0 ,13.5 ,
Summer 2010,Manhattan, Greenwich Village and Soho (CD2),102,13.7 ,12.9 ,14.2 ,
Summer 2011,Manhattan, Greenwich Village and Soho (CD2),102,13.2 ,12.4 ,13.6 ,
Summer 2012,Manhattan, Greenwich Village and Soho (CD2),102,12.2 ,11.3 ,12.7 ,
Summer 2013,Manhattan, Greenwich Village and Soho (CD2),102,12.1 ,11.1 ,12.6 ,
Summer 2014,Manhattan, Greenwich Village and Soho (CD2),102,10.8 ,10.0 ,11.3 ,
Winter 2008-09,Manhattan, Greenwich Village and Soho (CD2),102,15.2 ,14.0 ,15.9 ,
Winter 2009-10,Manhattan, Greenwich Village and Soho (CD2),102,11.5 ,10.0 ,12.3 ,
Winter 2010-11,Manhattan, Greenwich Village and Soho (CD2),102,14.6 ,13.9 ,15.1 ,
Winter 2011-12,Manhattan, Greenwich Village and Soho (CD2),102,11.2 ,10.2 ,11.8 ,
Winter 2012-13,Manhattan, Greenwich Village and Soho (CD2),102,12.7 ,11.7 ,13.3 ,
Winter 2013-14,Manhattan, Greenwich Village and Soho (CD2),102,14.4 ,13.5 ,14.9 ,
Summer 2009,Bronx, Highbridge and Concourse (CD4),204,11.6 ,11.2 ,12.0 ,
Summer 2010,Bronx, Highbridge and Concourse (CD4),204,12.8 ,12.4 ,13.2 ,
Summer 2011,Bronx, Highbridge and Concourse (CD4),204,12.2 ,11.9 ,12.7 ,
Summer 2012,Bronx, Highbridge and Concourse (CD4),204,11.1 ,10.8 ,11.6 ,
Summer 2013,Bronx, Highbridge and Concourse (CD4),204,11.1 ,10.7 ,11.5 ,
Summer 2014,Bronx, Highbridge and Concourse (CD4),204,9.4 ,9.1 ,9.9 ,
Winter 2008-09,Bronx, Highbridge and Concourse (CD4),204,15.3 ,14.9 ,15.9 ,
Winter 2009-10,Bronx, Highbridge and Concourse (CD4),204,12.5 ,12.1 ,13.1 ,
Winter 2010-11,Bronx, Highbridge and Concourse (CD4),204,14.9 ,14.6 ,15.4 ,
Winter 2011-12,Bronx, Highbridge and Concourse (CD4),204,11.4 ,11.1 ,11.9 ,
Winter 2012-13,Bronx, Highbridge and Concourse (CD4),204,12.4 ,12.1 ,12.9 ,
Winter 2013-14,Bronx, Highbridge and Concourse (CD4),204,13.3 ,13.0 ,13.8 ,
Summer 2009,Queens, Hillcrest and Fresh Meadows (CD8),408,10.1 ,9.8 ,10.5 ,
Summer 2010,Queens, Hillcrest and Fresh Meadows (CD8),408,11.4 ,11.1 ,11.8 ,
Summer 2011,Queens, Hillcrest and Fresh Meadows (CD8),408,11.1 ,10.8 ,11.5 ,
Summer 2012,Queens, Hillcrest and Fresh Meadows (CD8),408,9.9 ,9.6 ,10.3 ,
Summer 2013,Queens, Hillcrest and Fresh Meadows (CD8),408,10.0 ,9.7 ,10.4 ,
Summer 2014,Queens, Hillcrest and Fresh Meadows (CD8),408,8.0 ,7.7 ,8.4 ,
Winter 2008-09,Queens, Hillcrest and Fresh Meadows (CD8),408,12.8 ,12.3 ,13.3 ,
Winter 2009-10,Queens, Hillcrest and Fresh Meadows (CD8),408,9.7 ,9.2 ,10.1 ,
Winter 2010-11,Queens, Hillcrest and Fresh Meadows (CD8),408,12.1 ,11.8 ,12.5 ,
Winter 2011-12,Queens, Hillcrest and Fresh Meadows (CD8),408,9.0 ,8.8 ,9.4 ,
Winter 2012-13,Queens, Hillcrest and Fresh Meadows (CD8),408,9.7 ,9.3 ,10.1 ,
Winter 2013-14,Queens, Hillcrest and Fresh Meadows (CD8),408,11.1 ,10.7 ,11.5 ,
Summer 2009,Bronx, Hunts Point and Longwood (CD2),202,11.5 ,10.1 ,12.7 ,
Summer 2010,Bronx, Hunts Point and Longwood (CD2),202,12.8 ,11.5 ,14.0 ,
Summer 2011,Bronx, Hunts Point and Longwood (CD2),202,12.4 ,11.1 ,13.6 ,
Summer 2012,Bronx, Hunts Point and Longwood (CD2),202,11.2 ,9.9 ,12.4 ,
Summer 2013,Bronx, Hunts Point and Longwood (CD2),202,11.1 ,9.8 ,12.3 ,
Summer 2014,Bronx, Hunts Point and Longwood (CD2),202,9.4 ,8.1 ,10.7 ,
Winter 2008-09,Bronx, Hunts Point and Longwood (CD2),202,14.5 ,12.9 ,15.7 ,
Winter 2009-10,Bronx, Hunts Point and Longwood (CD2),202,11.4 ,9.7 ,12.6 ,
Winter 2010-11,Bronx, Hunts Point and Longwood (CD2),202,14.5 ,13.0 ,15.7 ,
Winter 2011-12,Bronx, Hunts Point and Longwood (CD2),202,10.9 ,9.4 ,12.1 ,
Winter 2012-13,Bronx, Hunts Point and Longwood (CD2),202,11.9 ,10.3 ,13.1 ,
Winter 2013-14,Bronx, Hunts Point and Longwood (CD2),202,13.2 ,11.7 ,14.4 ,
Summer 2009,Queens, Jackson Heights (CD3),403,10.4 ,10.0 ,10.8 ,
Summer 2010,Queens, Jackson Heights (CD3),403,11.6 ,11.3 ,11.9 ,
Summer 2011,Queens, Jackson Heights (CD3),403,11.2 ,10.9 ,11.5 ,
Summer 2012,Queens, Jackson Heights (CD3),403,10.0 ,9.7 ,10.4 ,
Summer 2013,Queens, Jackson Heights (CD3),403,10.0 ,9.6 ,10.3 ,
Summer 2014,Queens, Jackson Heights (CD3),403,8.2 ,7.8 ,8.6 ,
Winter 2008-09,Queens, Jackson Heights (CD3),403,12.8 ,12.3 ,13.2 ,
Winter 2009-10,Queens, Jackson Heights (CD3),403,9.3 ,8.8 ,9.7 ,
Winter 2010-11,Queens, Jackson Heights (CD3),403,12.4 ,12.2 ,12.7 ,
Winter 2011-12,Queens, Jackson Heights (CD3),403,9.0 ,8.7 ,9.3 ,
Winter 2012-13,Queens, Jackson Heights (CD3),403,10.1 ,9.7 ,10.5 ,
Winter 2013-14,Queens, Jackson Heights (CD3),403,11.7 ,11.3 ,12.1 ,
Summer 2009,Queens, Jamaica and Hollis (CD12),412,10.1 ,9.7 ,10.7 ,
Summer 2010,Queens, Jamaica and Hollis (CD12),412,11.4 ,10.9 ,11.9 ,
Summer 2011,Queens, Jamaica and Hollis (CD12),412,11.2 ,10.7 ,11.7 ,
Summer 2012,Queens, Jamaica and Hollis (CD12),412,10.0 ,9.6 ,10.5 ,
Summer 2013,Queens, Jamaica and Hollis (CD12),412,10.1 ,9.7 ,10.6 ,
Summer 2014,Queens, Jamaica and Hollis (CD12),412,8.1 ,7.7 ,8.6 ,
Winter 2008-09,Queens, Jamaica and Hollis (CD12),412,12.6 ,12.1 ,13.5 ,
Winter 2009-10,Queens, Jamaica and Hollis (CD12),412,9.7 ,9.1 ,10.4 ,
Winter 2010-11,Queens, Jamaica and Hollis (CD12),412,11.8 ,11.4 ,12.4 ,
Winter 2011-12,Queens, Jamaica and Hollis (CD12),412,8.8 ,8.3 ,9.4 ,
Winter 2012-13,Queens, Jamaica and Hollis (CD12),412,9.8 ,9.3 ,10.3 ,
Winter 2013-14,Queens, Jamaica and Hollis (CD12),412,10.9 ,10.4 ,11.6 ,
Summer 2009,Queens, Kew Gardens and Woodhaven (CD9),409,10.4 ,10.0 ,10.9 ,
Summer 2010,Queens, Kew Gardens and Woodhaven (CD9),409,11.6 ,11.2 ,12.1 ,
Summer 2011,Queens, Kew Gardens and Woodhaven (CD9),409,11.2 ,10.9 ,11.8 ,
Summer 2012,Queens, Kew Gardens and Woodhaven (CD9),409,10.1 ,9.7 ,10.6 ,
Summer 2013,Queens, Kew Gardens and Woodhaven (CD9),409,10.1 ,9.7 ,10.6 ,
Summer 2014,Queens, Kew Gardens and Woodhaven (CD9),409,8.3 ,7.9 ,8.8 ,
Winter 2008-09,Queens, Kew Gardens and Woodhaven (CD9),409,13.2 ,12.8 ,13.8 ,
Winter 2009-10,Queens, Kew Gardens and Woodhaven (CD9),409,9.9 ,9.5 ,10.5 ,
Winter 2010-11,Queens, Kew Gardens and Woodhaven (CD9),409,12.0 ,11.6 ,12.5 ,
Winter 2011-12,Queens, Kew Gardens and Woodhaven (CD9),409,8.8 ,8.4 ,9.4 ,
Winter 2012-13,Queens, Kew Gardens and Woodhaven (CD9),409,9.9 ,9.6 ,10.5 ,
Winter 2013-14,Queens, Kew Gardens and Woodhaven (CD9),409,11.3 ,10.9 ,11.8 ,
Summer 2009,Bronx, Kingsbridge Heights and Bedford (CD7),207,10.9 ,10.6 ,11.4 ,
Summer 2010,Bronx, Kingsbridge Heights and Bedford (CD7),207,12.2 ,11.9 ,12.7 ,
Summer 2011,Bronx, Kingsbridge Heights and Bedford (CD7),207,11.7 ,11.4 ,12.1 ,
Summer 2012,Bronx, Kingsbridge Heights and Bedford (CD7),207,10.6 ,10.3 ,11.0 ,
Summer 2013,Bronx, Kingsbridge Heights and Bedford (CD7),207,10.6 ,10.3 ,11.0 ,
Summer 2014,Bronx, Kingsbridge Heights and Bedford (CD7),207,9.0 ,8.7 ,9.4 ,
Winter 2008-09,Bronx, Kingsbridge Heights and Bedford (CD7),207,15.0 ,14.4 ,15.6 ,
Winter 2009-10,Bronx, Kingsbridge Heights and Bedford (CD7),207,12.0 ,11.3 ,12.7 ,
Winter 2010-11,Bronx, Kingsbridge Heights and Bedford (CD7),207,14.3 ,13.9 ,14.8 ,
Winter 2011-12,Bronx, Kingsbridge Heights and Bedford (CD7),207,10.4 ,9.8 ,11.1 ,
Winter 2012-13,Bronx, Kingsbridge Heights and Bedford (CD7),207,11.7 ,11.2 ,12.3 ,
Winter 2013-14,Bronx, Kingsbridge Heights and Bedford (CD7),207,12.8 ,12.5 ,13.3 ,
Summer 2009,Queens, Long Island City and Astoria (CD1),401,10.8 ,9.8 ,11.6 ,
Summer 2010,Queens, Long Island City and Astoria (CD1),401,12.1 ,11.2 ,12.8 ,
Summer 2011,Queens, Long Island City and Astoria (CD1),401,11.6 ,10.7 ,12.3 ,
Summer 2012,Queens, Long Island City and Astoria (CD1),401,10.5 ,9.5 ,11.2 ,
Summer 2013,Queens, Long Island City and Astoria (CD1),401,10.3 ,9.4 ,11.1 ,
Summer 2014,Queens, Long Island City and Astoria (CD1),401,8.8 ,7.7 ,9.6 ,
Winter 2008-09,Queens, Long Island City and Astoria (CD1),401,13.0 ,12.3 ,13.5 ,
Winter 2009-10,Queens, Long Island City and Astoria (CD1),401,9.3 ,8.9 ,9.7 ,
Winter 2010-11,Queens, Long Island City and Astoria (CD1),401,13.1 ,12.5 ,13.6 ,
Winter 2011-12,Queens, Long Island City and Astoria (CD1),401,9.4 ,8.8 ,9.8 ,
Winter 2012-13,Queens, Long Island City and Astoria (CD1),401,10.8 ,9.9 ,11.4 ,
Winter 2013-14,Queens, Long Island City and Astoria (CD1),401,12.3 ,11.3 ,13.1 ,
Summer 2009,Manhattan, Lower East Side and Chinatown (CD3),103,12.0 ,11.0 ,13.3 ,
Summer 2010,Manhattan, Lower East Side and Chinatown (CD3),103,12.9 ,12.0 ,14.0 ,
Summer 2011,Manhattan, Lower East Side and Chinatown (CD3),103,12.4 ,11.5 ,13.5 ,
Summer 2012,Manhattan, Lower East Side and Chinatown (CD3),103,11.3 ,10.4 ,12.4 ,
Summer 2013,Manhattan, Lower East Side and Chinatown (CD3),103,11.3 ,10.2 ,12.4 ,
Summer 2014,Manhattan, Lower East Side and Chinatown (CD3),103,10.0 ,9.1 ,11.1 ,
Winter 2008-09,Manhattan, Lower East Side and Chinatown (CD3),103,14.2 ,13.0 ,15.6 ,
Winter 2009-10,Manhattan, Lower East Side and Chinatown (CD3),103,10.4 ,9.1 ,11.9 ,
Winter 2010-11,Manhattan, Lower East Side and Chinatown (CD3),103,13.8 ,12.9 ,14.9 ,
Winter 2011-12,Manhattan, Lower East Side and Chinatown (CD3),103,10.3 ,9.2 ,11.6 ,
Winter 2012-13,Manhattan, Lower East Side and Chinatown (CD3),103,11.6 ,10.5 ,12.9 ,
Winter 2013-14,Manhattan, Lower East Side and Chinatown (CD3),103,13.4 ,12.3 ,14.6 ,
Summer 2009,Manhattan, Midtown (CD5),105,16.0 ,14.7 ,17.3 ,
Summer 2010,Manhattan, Midtown (CD5),105,16.1 ,15.1 ,17.1 ,
Summer 2011,Manhattan, Midtown (CD5),105,15.6 ,14.5 ,16.6 ,
Summer 2012,Manhattan, Midtown (CD5),105,14.8 ,13.7 ,15.9 ,
Summer 2013,Manhattan, Midtown (CD5),105,15.0 ,13.8 ,16.2 ,
Summer 2014,Manhattan, Midtown (CD5),105,13.2 ,12.1 ,14.2 ,
Winter 2008-09,Manhattan, Midtown (CD5),105,18.8 ,17.3 ,20.4 ,
Winter 2009-10,Manhattan, Midtown (CD5),105,15.8 ,13.9 ,17.6 ,
Winter 2010-11,Manhattan, Midtown (CD5),105,17.0 ,15.9 ,18.0 ,
Winter 2011-12,Manhattan, Midtown (CD5),105,14.2 ,12.8 ,15.4 ,
Winter 2012-13,Manhattan, Midtown (CD5),105,16.1 ,14.7 ,17.4 ,
Winter 2013-14,Manhattan, Midtown (CD5),105,17.4 ,16.1 ,18.7 ,
Summer 2009,Manhattan, Morningside Heights and Hamilton Heights (CD9),109,11.4 ,11.1 ,11.9 ,
Summer 2010,Manhattan, Morningside Heights and Hamilton Heights (CD9),109,12.5 ,12.3 ,12.8 ,
Summer 2011,Manhattan, Morningside Heights and Hamilton Heights (CD9),109,12.0 ,11.7 ,12.3 ,
Summer 2012,Manhattan, Morningside Heights and Hamilton Heights (CD9),109,10.9 ,10.6 ,11.3 ,
Summer 2013,Manhattan, Morningside Heights and Hamilton Heights (CD9),109,10.8 ,10.5 ,11.2 ,
Summer 2014,Manhattan, Morningside Heights and Hamilton Heights (CD9),109,9.2 ,8.9 ,9.5 ,
Winter 2008-09,Manhattan, Morningside Heights and Hamilton Heights (CD9),109,14.7 ,14.4 ,15.0 ,
Winter 2009-10,Manhattan, Morningside Heights and Hamilton Heights (CD9),109,11.6 ,11.2 ,11.9 ,
Winter 2010-11,Manhattan, Morningside Heights and Hamilton Heights (CD9),109,14.5 ,14.3 ,14.7 ,
Winter 2011-12,Manhattan, Morningside Heights and Hamilton Heights (CD9),109,11.0 ,10.7 ,11.2 ,
Winter 2012-13,Manhattan, Morningside Heights and Hamilton Heights (CD9),109,12.3 ,12.0 ,12.6 ,
Winter 2013-14,Manhattan, Morningside Heights and Hamilton Heights (CD9),109,13.2 ,12.9 ,13.6 ,
Summer 2009,Bronx, Morris Park and Bronxdale (CD11),211,10.3 ,10.0 ,10.6 ,
Summer 2010,Bronx, Morris Park and Bronxdale (CD11),211,11.8 ,11.5 ,12.0 ,
Summer 2011,Bronx, Morris Park and Bronxdale (CD11),211,11.3 ,11.1 ,11.6 ,
Summer 2012,Bronx, Morris Park and Bronxdale (CD11),211,10.2 ,9.9 ,10.4 ,
Summer 2013,Bronx, Morris Park and Bronxdale (CD11),211,10.1 ,9.8 ,10.4 ,
Summer 2014,Bronx, Morris Park and Bronxdale (CD11),211,8.5 ,8.3 ,8.8 ,
Winter 2008-09,Bronx, Morris Park and Bronxdale (CD11),211,13.6 ,13.2 ,13.8 ,
Winter 2009-10,Bronx, Morris Park and Bronxdale (CD11),211,10.4 ,9.9 ,10.8 ,
Winter 2010-11,Bronx, Morris Park and Bronxdale (CD11),211,13.4 ,13.0 ,13.6 ,
Winter 2011-12,Bronx, Morris Park and Bronxdale (CD11),211,9.3 ,8.8 ,9.7 ,
Winter 2012-13,Bronx, Morris Park and Bronxdale (CD11),211,10.6 ,10.3 ,10.9 ,
Winter 2013-14,Bronx, Morris Park and Bronxdale (CD11),211,12.1 ,11.8 ,12.3 ,
Summer 2009,Bronx, Morrisania and Crotona (CD3),203,11.0 ,10.7 ,11.4 ,
Summer 2010,Bronx, Morrisania and Crotona (CD3),203,12.3 ,12.0 ,12.7 ,
Summer 2011,Bronx, Morrisania and Crotona (CD3),203,11.8 ,11.5 ,12.2 ,
Summer 2012,Bronx, Morrisania and Crotona (CD3),203,10.7 ,10.4 ,11.1 ,
Summer 2013,Bronx, Morrisania and Crotona (CD3),203,10.6 ,10.3 ,11.0 ,
Summer 2014,Bronx, Morrisania and Crotona (CD3),203,8.9 ,8.6 ,9.3 ,
Winter 2008-09,Bronx, Morrisania and Crotona (CD3),203,14.6 ,14.1 ,15.0 ,
Winter 2009-10,Bronx, Morrisania and Crotona (CD3),203,11.7 ,11.2 ,12.1 ,
Winter 2010-11,Bronx, Morrisania and Crotona (CD3),203,14.3 ,13.9 ,14.7 ,
Winter 2011-12,Bronx, Morrisania and Crotona (CD3),203,10.7 ,10.3 ,11.1 ,
Winter 2012-13,Bronx, Morrisania and Crotona (CD3),203,11.7 ,11.3 ,12.1 ,
Winter 2013-14,Bronx, Morrisania and Crotona (CD3),203,12.8 ,12.4 ,13.2 ,
Summer 2009,Bronx, Mott Haven and Melrose (CD1),201,11.7 ,11.1 ,12.5 ,
Summer 2010,Bronx, Mott Haven and Melrose (CD1),201,13.0 ,12.4 ,13.8 ,
Summer 2011,Bronx, Mott Haven and Melrose (CD1),201,12.5 ,11.8 ,13.3 ,
Summer 2012,Bronx, Mott Haven and Melrose (CD1),201,11.3 ,10.7 ,12.2 ,
Summer 2013,Bronx, Mott Haven and Melrose (CD1),201,11.2 ,10.6 ,12.0 ,
Summer 2014,Bronx, Mott Haven and Melrose (CD1),201,9.6 ,8.9 ,10.4 ,
Winter 2008-09,Bronx, Mott Haven and Melrose (CD1),201,14.7 ,14.2 ,15.4 ,
Winter 2009-10,Bronx, Mott Haven and Melrose (CD1),201,11.6 ,11.1 ,12.2 ,
Winter 2010-11,Bronx, Mott Haven and Melrose (CD1),201,14.7 ,14.2 ,15.4 ,
Winter 2011-12,Bronx, Mott Haven and Melrose (CD1),201,11.2 ,10.6 ,11.8 ,
Winter 2012-13,Bronx, Mott Haven and Melrose (CD1),201,12.3 ,11.7 ,12.9 ,
Winter 2013-14,Bronx, Mott Haven and Melrose (CD1),201,13.4 ,12.8 ,14.2 ,
Summer 2009,Brooklyn, Park Slope and Carroll Gardens (CD6),306,11.7 ,10.9 ,12.6 ,
Summer 2010,Brooklyn, Park Slope and Carroll Gardens (CD6),306,12.7 ,11.9 ,13.7 ,
Summer 2011,Brooklyn, Park Slope and Carroll Gardens (CD6),306,12.3 ,11.5 ,13.2 ,
Summer 2012,Brooklyn, Park Slope and Carroll Gardens (CD6),306,11.1 ,10.3 ,12.1 ,
Summer 2013,Brooklyn, Park Slope and Carroll Gardens (CD6),306,10.9 ,10.1 ,11.8 ,
Summer 2014,Brooklyn, Park Slope and Carroll Gardens (CD6),306,9.9 ,9.0 ,10.9 ,
Winter 2008-09,Brooklyn, Park Slope and Carroll Gardens (CD6),306,14.1 ,13.2 ,15.0 ,
Winter 2009-10,Brooklyn, Park Slope and Carroll Gardens (CD6),306,10.7 ,9.8 ,11.6 ,
Winter 2010-11,Brooklyn, Park Slope and Carroll Gardens (CD6),306,13.9 ,13.1 ,14.9 ,
Winter 2011-12,Brooklyn, Park Slope and Carroll Gardens (CD6),306,10.5 ,9.6 ,11.4 ,
Winter 2012-13,Brooklyn, Park Slope and Carroll Gardens (CD6),306,11.1 ,10.2 ,12.0 ,
Winter 2013-14,Brooklyn, Park Slope and Carroll Gardens (CD6),306,12.9 ,12.1 ,13.9 ,
Summer 2009,Bronx, Parkchester and Soundview (CD9),209,10.6 ,9.8 ,11.4 ,
Summer 2010,Bronx, Parkchester and Soundview (CD9),209,12.0 ,11.2 ,12.8 ,
Summer 2011,Bronx, Parkchester and Soundview (CD9),209,11.6 ,10.8 ,12.3 ,
Summer 2012,Bronx, Parkchester and Soundview (CD9),209,10.4 ,9.6 ,11.2 ,
Summer 2013,Bronx, Parkchester and Soundview (CD9),209,10.4 ,9.5 ,11.1 ,
Summer 2014,Bronx, Parkchester and Soundview (CD9),209,8.6 ,7.8 ,9.4 ,
Winter 2008-09,Bronx, Parkchester and Soundview (CD9),209,13.7 ,12.6 ,14.6 ,
Winter 2009-10,Bronx, Parkchester and Soundview (CD9),209,10.6 ,9.4 ,11.6 ,
Winter 2010-11,Bronx, Parkchester and Soundview (CD9),209,13.6 ,12.7 ,14.4 ,
Winter 2011-12,Bronx, Parkchester and Soundview (CD9),209,9.9 ,9.0 ,10.7 ,
Winter 2012-13,Bronx, Parkchester and Soundview (CD9),209,10.9 ,9.9 ,11.8 ,
Winter 2013-14,Bronx, Parkchester and Soundview (CD9),209,12.3 ,11.3 ,13.1 ,
Summer 2009,Queens, Queens Village (CD13),413,9.7 ,9.4 ,10.1 ,
Summer 2010,Queens, Queens Village (CD13),413,11.0 ,10.7 ,11.4 ,
Summer 2011,Queens, Queens Village (CD13),413,10.8 ,10.6 ,11.2 ,
Summer 2012,Queens, Queens Village (CD13),413,9.6 ,9.4 ,10.0 ,
Summer 2013,Queens, Queens Village (CD13),413,9.8 ,9.5 ,10.1 ,
Summer 2014,Queens, Queens Village (CD13),413,7.7 ,7.5 ,8.1 ,
Winter 2008-09,Queens, Queens Village (CD13),413,11.7 ,11.3 ,12.3 ,
Winter 2009-10,Queens, Queens Village (CD13),413,8.9 ,8.4 ,9.4 ,
Winter 2010-11,Queens, Queens Village (CD13),413,11.4 ,11.0 ,11.8 ,
Winter 2011-12,Queens, Queens Village (CD13),413,8.3 ,7.8 ,8.7 ,
Winter 2012-13,Queens, Queens Village (CD13),413,9.3 ,8.9 ,9.8 ,
Winter 2013-14,Queens, Queens Village (CD13),413,10.3 ,10.0 ,10.8 ,
Summer 2009,Queens, Rego Park and Forest Hills (CD6),406,10.7 ,10.2 ,11.4 ,
Summer 2010,Queens, Rego Park and Forest Hills (CD6),406,11.8 ,11.3 ,12.5 ,
Summer 2011,Queens, Rego Park and Forest Hills (CD6),406,11.5 ,11.0 ,12.2 ,
Summer 2012,Queens, Rego Park and Forest Hills (CD6),406,10.3 ,9.8 ,11.0 ,
Summer 2013,Queens, Rego Park and Forest Hills (CD6),406,10.3 ,9.9 ,11.0 ,
Summer 2014,Queens, Rego Park and Forest Hills (CD6),406,8.5 ,8.0 ,9.2 ,
Winter 2008-09,Queens, Rego Park and Forest Hills (CD6),406,13.5 ,13.0 ,14.2 ,
